target,feature,importance
parasympathetic_recovery_proxy,num__acc_mag__base__max,0.01712060780216015
parasympathetic_recovery_proxy,num__acc_x__base__std,0.017080158190899017
parasympathetic_recovery_proxy,num__acc_mag__base__std,0.01697803171426647
parasympathetic_recovery_proxy,num__acc_y__base__min,0.016927074890051526
parasympathetic_recovery_proxy,num__acc_x__base__min,0.01648731986269127
parasympathetic_recovery_proxy,num__acc_y__base__std,0.01610720414234855
parasympathetic_recovery_proxy,num__bvp__shape__iqr,0.015249616547889467
parasympathetic_recovery_proxy,num__acc_y__base__last,0.015235747086512588
parasympathetic_recovery_proxy,num__temperature__base__mean,0.01489612513810002
parasympathetic_recovery_proxy,num__acc_z__base__last,0.014174891093886775
parasympathetic_recovery_proxy,num__bvp__base__std,0.014151112175070878
parasympathetic_recovery_proxy,num__temperature__base__max,0.014031867758801718
parasympathetic_recovery_proxy,num__temperature__base__min,0.013914460402194795
parasympathetic_recovery_proxy,num__eda__base__std,0.013744811865421635
parasympathetic_recovery_proxy,num__hr__base__max,0.013688259029268882
parasympathetic_recovery_proxy,num__temperature__base__last,0.013511821463339766
parasympathetic_recovery_proxy,num__acc_z__base__max,0.013508935164137939
parasympathetic_recovery_proxy,num__acc_x__base__mean,0.013181507210532356
parasympathetic_recovery_proxy,num__ibi__base__mean,0.012910890592595788
parasympathetic_recovery_proxy,num__ibi__base__last,0.012609846359730142
parasympathetic_recovery_proxy,num__acc_x__base__last,0.012607129833424999
parasympathetic_recovery_proxy,num__bvp__shape__mad,0.0122825490601991
parasympathetic_recovery_proxy,num__bvp__shape__longest_above_median_frac,0.011924667858403685
parasympathetic_recovery_proxy,num__bvp__shape__q90,0.011657726045486224
parasympathetic_recovery_proxy,num__hr__base__std,0.01150010184172718
parasympathetic_recovery_proxy,num__acc_mag__base__last,0.01121924332262973
parasympathetic_recovery_proxy,num__bvp__shape__q10,0.011074280846860862
parasympathetic_recovery_proxy,num__bvp__base__max,0.009327954578579567
parasympathetic_recovery_proxy,num__ibi__base__max,0.009003923982429737
parasympathetic_recovery_proxy,num__bvp__shape__q25,0.008949281426876794
parasympathetic_recovery_proxy,num__bvp__shape__q75,0.008668907607689708
parasympathetic_recovery_proxy,num__bvp__shape__median_crossings,0.008610359121211539
parasympathetic_recovery_proxy,num__bvp__base__min,0.008546315955211665
parasympathetic_recovery_proxy,num__respiration__base__max,0.008046412557991984
parasympathetic_recovery_proxy,num__bvp__shape__mean_abs_diff_z,0.007859283561984233
parasympathetic_recovery_proxy,num__respiration__base__std,0.007779821014754733
parasympathetic_recovery_proxy,num__bvp__shape__min_time_fraction,0.0073492732427720385
parasympathetic_recovery_proxy,num__bvp__shape__max_time_fraction,0.007182835510952734
parasympathetic_recovery_proxy,num__emg__base__max,0.00711423180197537
parasympathetic_recovery_proxy,num__ibi__base__min,0.006974763934240734
parasympathetic_recovery_proxy,num__emg__base__min,0.006873958893149611
parasympathetic_recovery_proxy,num__bvp__base__last,0.0065332072841776025
parasympathetic_recovery_proxy,num__grip__base__last,0.006307744173830887
parasympathetic_recovery_proxy,num__temperature__base__std,0.006286475078728575
parasympathetic_recovery_proxy,num__ibi__base__std,0.0062128440805594865
parasympathetic_recovery_proxy,num__emg__base__mean,0.006040702741426724
parasympathetic_recovery_proxy,num__respiration__base__min,0.006004518328200714
parasympathetic_recovery_proxy,num__window_s,0.005903851518841923
parasympathetic_recovery_proxy,num__bvp__shape__second_diff_energy,0.005860121580784334
parasympathetic_recovery_proxy,num__bvp__shape__std_diff_z,0.0058503492617454295
parasympathetic_recovery_proxy,num__bvp__shape__max_abs_diff_z,0.005729604067178716
parasympathetic_recovery_proxy,num__bvp__shape__kurtosis,0.005322539855244304
parasympathetic_recovery_proxy,num__bvp__shape__skew,0.0053103381156875355
parasympathetic_recovery_proxy,num__grip__base__mean,0.005309063990393399
parasympathetic_recovery_proxy,num__bvp__shape__median,0.005231573150769825
parasympathetic_recovery_proxy,num__grip__base__min,0.004818899405188915
parasympathetic_recovery_proxy,num__bvp__shape__rms_z,0.004646843810782154
parasympathetic_recovery_proxy,num__emg__base__std,0.004319508424101103
parasympathetic_recovery_proxy,num__bvp__shape__last_minus_first_z,0.003979703200272772
parasympathetic_recovery_proxy,num__bvp__shape__late_minus_early_z,0.0031681968534803973
parasympathetic_recovery_proxy,num__bvp__base__mean,0.003131845216034161
parasympathetic_recovery_proxy,num__grip__base__max,0.002933665447387439
parasympathetic_recovery_proxy,num__ecg__base__std,0.0027843788533969084
parasympathetic_recovery_proxy,num__respiration__base__last,0.0024998937664982234
parasympathetic_recovery_proxy,num__emg__base__last,0.0022142553119507717
parasympathetic_recovery_proxy,num__grip__base__std,0.002108459385824072
parasympathetic_recovery_proxy,num__ecg__base__max,0.0018214411215698144
parasympathetic_recovery_proxy,num__ecg__base__min,0.0017326180129371821
parasympathetic_recovery_proxy,num__respiration__base__mean,0.0014155880327056678
parasympathetic_recovery_proxy,num__ecg__base__last,0.0006804831804193909
parasympathetic_recovery_proxy,num__ecg__base__mean,0.00038516377199459954
sympathetic_activation,num__acc_y__base__mean,0.03398388322340019
sympathetic_activation,num__acc_mag__base__mean,0.03355512673413133
sympathetic_activation,num__temperature__base__mean,0.02819156457262105
