window_s,task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
5,pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_shuffle,192,241,234,0.7344398340248963,0.4094279661016948,0.6930408872903635,0.2280613558779393
5,pain_high_4_plus,painmonit,group_subject_cv,logistic,base_reverse,192,241,234,0.7344398340248963,0.4231108757062147,0.7391520459859974,0.3857050893892211
5,pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_reverse,192,241,234,0.7344398340248963,0.321680790960452,0.6607182801788207,0.2387661894955748
5,pain_high_4_plus,painmonit,group_subject_cv,logistic,quality_only,192,241,16,0.7344398340248963,0.5,0.7344398340248963,0.25
5,pain_high_4_plus,painmonit,group_subject_cv,extra_trees,quality_only,192,241,16,0.7344398340248963,0.5306762005649717,0.7444379016770771,0.2499999999999999
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base,318,398,40,0.2035175879396984,0.7042489387389492,0.3876135220724993,0.2080022953305528
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base,318,398,40,0.2035175879396984,0.7104412509249521,0.3970926379573037,0.1630472132124452
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_distribution,318,398,120,0.2035175879396984,0.6234762628032869,0.339956503024324,0.2341923984748783
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_distribution,318,398,120,0.2035175879396984,0.7084939829419324,0.4341533145252704,0.1560600677541704
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal,318,398,232,0.2035175879396984,0.6135062507302255,0.3177342638953294,0.2495745861819608
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal,318,398,232,0.2035175879396984,0.669743350079838,0.382529719460172,0.1629397878373969
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_coupling,318,398,244,0.2035175879396984,0.6051719437629006,0.3146472703049572,0.254394618294322
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_coupling,318,398,244,0.2035175879396984,0.6745336293180668,0.3665269213839683,0.1624957216480674
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_shuffle,318,398,232,0.2035175879396984,0.6076255014215055,0.3009997251786217,0.2459922137687616
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_shuffle,318,398,232,0.2035175879396984,0.5665381469797873,0.2652137367363505,0.1737642961298499
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_reverse,318,398,232,0.2035175879396984,0.5855434824940607,0.3000025675233901,0.2548156898795692
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_reverse,318,398,232,0.2035175879396984,0.6584881411379834,0.3728750658123735,0.164066336814079
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shape,318,398,312,0.2035175879396984,0.6152977372746037,0.3151401681600638,0.2476627487190552
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shape,318,398,312,0.2035175879396984,0.6918643143669432,0.417365019631951,0.1569734819279684
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shape_coupling,318,398,324,0.2035175879396984,0.6112863652295829,0.3156781808773596,0.2485069982483667
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shape_coupling,318,398,324,0.2035175879396984,0.7174903610234841,0.441607081378667,0.153897917245549
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shuffle,318,398,312,0.2035175879396984,0.6138567589671691,0.329457246380742,0.233053998381067
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shuffle,318,398,312,0.2035175879396984,0.6887486855941115,0.3780518013861597,0.1609934943350268
