task,split,feature_set,heldout,train_rows,test_rows,features,train_datasets,test_datasets,train_subjects,test_subjects,status,mae,baseline_mae,mae_improvement_vs_train_mean,rmse,r2,prevalence,roc_auc,average_precision,balanced_accuracy,f1,reason
pain_nrs_regression,leave_direct_pain_dataset_out,apple_watch_like,rheumapain,17756,23764,88,"painmonit,physiopain_watch",rheumapain,135,42,ok,1.0146193507890915,2.3033597906981806,0.559504618042522,1.19171716164366,0.011840646435440472,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,apple_watch_like,rheumapain,17756,23764,88,"painmonit,physiopain_watch",rheumapain,135,42,ok,,,,,,0.04405823935364417,0.6465272064195557,0.33306976897140844,0.5243553008595988,0.09289617486338798,
pain_nrs_regression,leave_direct_pain_dataset_out,metadata_probe,rheumapain,17756,23764,22,"painmonit,physiopain_watch",rheumapain,135,42,ok,3.147477590657228,2.3033597906981806,-0.3664724040802949,3.3706628857474605,-6.905170419432739,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,metadata_probe,rheumapain,17756,23764,22,"painmonit,physiopain_watch",rheumapain,135,42,ok,,,,,,0.04405823935364417,0.7048767571117885,0.3397044806970444,0.6480420248328558,0.45689019896831246,
pain_nrs_regression,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p36,9012,144,106,painmonit,painmonit,48,1,ok,2.278932834344859,3.3395376270792383,0.31759031074669597,2.3698269014976105,-65.34458885881591,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p36,9012,144,106,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,apple_watch_like,painmonit:painmonit::p36,9012,144,46,painmonit,painmonit,48,1,ok,2.4325815126206076,3.3395376270792383,0.27158134320883665,2.4768311611243097,-71.47113493479114,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,painmonit:painmonit::p36,9012,144,46,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,painmonit:painmonit::p36,9012,144,17,painmonit,painmonit,48,1,ok,3.3007241573583546,3.3395376270792383,0.011622408265790418,3.3193264560878344,-129.15839710439275,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,painmonit:painmonit::p36,9012,144,17,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p09,8942,214,106,painmonit,painmonit,48,1,ok,2.3436493452683886,3.7087962873101565,0.36808356034886325,2.6173746762919774,-6.024278532606691,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p09,8942,214,106,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,apple_watch_like,painmonit:painmonit::p09,8942,214,46,painmonit,painmonit,48,1,ok,3.6200027026396504,3.7087962873101565,0.023941348564847864,3.7858543820450716,-13.69595260254961,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,painmonit:painmonit::p09,8942,214,46,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,painmonit:painmonit::p09,8942,214,17,painmonit,painmonit,48,1,ok,3.354999138672994,3.7087962873101565,0.09539406352613611,3.524494207424649,-11.736893988771916,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,painmonit:painmonit::p09,8942,214,17,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,sensors_plus_state,physiopain_watch:physiopain_watch::S012,8500,100,152,physiopain_watch,physiopain_watch,85,1,ok,0.09247952878006906,1.694117647058824,0.9454113892617648,0.09247952878006904,,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,physiopain_watch:physiopain_watch::S012,8500,100,152,physiopain_watch,physiopain_watch,85,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,apple_watch_like,physiopain_watch:physiopain_watch::S012,8500,100,88,physiopain_watch,physiopain_watch,85,1,ok,0.09247952878006906,1.694117647058824,0.9454113892617648,0.09247952878006904,,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,physiopain_watch:physiopain_watch::S012,8500,100,88,physiopain_watch,physiopain_watch,85,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,physiopain_watch:physiopain_watch::S012,8500,100,21,physiopain_watch,physiopain_watch,85,1,ok,0.09247952878006906,1.694117647058824,0.9454113892617648,0.09247952878006904,,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,physiopain_watch:physiopain_watch::S012,8500,100,21,physiopain_watch,physiopain_watch,85,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,sensors_plus_state,physiopain_watch:physiopain_watch::S081,8500,100,152,physiopain_watch,physiopain_watch,85,1,ok,0.5551087030108977,2.3529411764705874,0.7640788012203684,0.7106459891750452,,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,physiopain_watch:physiopain_watch::S081,8500,100,152,physiopain_watch,physiopain_watch,85,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,apple_watch_like,physiopain_watch:physiopain_watch::S081,8500,100,88,physiopain_watch,physiopain_watch,85,1,ok,1.1035083101816965,2.3529411764705874,0.5310089681727788,1.1736725829932428,,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,physiopain_watch:physiopain_watch::S081,8500,100,88,physiopain_watch,physiopain_watch,85,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,physiopain_watch:physiopain_watch::S081,8500,100,21,physiopain_watch,physiopain_watch,85,1,ok,0.8636169951714894,2.3529411764705874,0.6329627770521169,0.8636169951714897,,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,physiopain_watch:physiopain_watch::S081,8500,100,21,physiopain_watch,physiopain_watch,85,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,sensors_plus_state,rheumapain:rheumapain::s021,22816,948,131,rheumapain,rheumapain,41,1,ok,0.29163692737951846,1.4129845831872374,0.7936021872781658,0.29163692737951835,,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,rheumapain:rheumapain::s021,22816,948,131,rheumapain,rheumapain,41,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,apple_watch_like,rheumapain:rheumapain::s021,22816,948,97,rheumapain,rheumapain,41,1,ok,0.43207850682717486,1.4129845831872374,0.6942086191396759,0.5287794852425164,,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,rheumapain:rheumapain::s021,22816,948,97,rheumapain,rheumapain,41,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,rheumapain:rheumapain::s021,22816,948,21,rheumapain,rheumapain,41,1,ok,0.12329690152454882,1.4129845831872374,0.9127400942716368,0.15223030783841923,,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,rheumapain:rheumapain::s021,22816,948,21,rheumapain,rheumapain,41,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,sensors_plus_state,rheumapain:rheumapain::s019,23454,310,131,rheumapain,rheumapain,41,1,ok,1.0806342476822202,2.678321128592138,0.5965255113936779,1.0806699655349175,,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,rheumapain:rheumapain::s019,23454,310,131,rheumapain,rheumapain,41,1,skipped,,,,,,,,,,,target has fewer than two classes
