,n,median,mean,p10,p90
resting_heart_rate,97.0,67.0,68.50515463917526,58.0,83.4
walking_heart_rate_average,106.0,116.75,114.63679245283019,98.25,129.0
heart_rate_variability_sdnn,321.0,40.0578,45.14418582554517,24.8955,68.6553
respiratory_rate,3247.0,16.0,16.31136433631044,15.0,18.0
oxygen_saturation,904.0,0.97,0.9659402654867257,0.94,0.99
vo2max,71.0,31.11,31.724647887323947,30.48,33.36
physical_effort,25229.0,3.7,3.74578461294542,1.5,5.7
