task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base,638,798,35,0.5012531328320802,0.55803391959799,0.5587959073208612,0.2639631108266817
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base,638,798,35,0.5012531328320802,0.4994974874371859,0.503555764665696,0.26567845676570545
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_distribution,638,798,105,0.5012531328320802,0.5361683417085427,0.5276106215517115,0.2891088107409573
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_distribution,638,798,105,0.5012531328320802,0.5014007537688442,0.49165007686827844,0.27248877972433244
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal,638,798,210,0.5012531328320802,0.5055590452261307,0.5164933449472902,0.3126463968823776
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal,638,798,210,0.5012531328320802,0.46212939698492467,0.48687097527023987,0.2727125750231069
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_coupling,638,798,222,0.5012531328320802,0.4948429648241207,0.5050385200740004,0.32018689621213303
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_coupling,638,798,222,0.5012531328320802,0.4474685929648241,0.4743699370278902,0.2746266191080438
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_shuffle,638,798,210,0.5012531328320802,0.5180276381909548,0.5160196369077028,0.30908199806711206
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_shuffle,638,798,210,0.5012531328320802,0.5199748743718593,0.518370713914303,0.2565897504088877
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_reverse,638,798,210,0.5012531328320802,0.5292336683417085,0.5432386381959325,0.30294558784547226
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_reverse,638,798,210,0.5012531328320802,0.4668341708542713,0.48896920791639176,0.2725411909972793
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape,638,798,280,0.5012531328320802,0.503391959798995,0.5128172159722787,0.31752511299847264
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape,638,798,280,0.5012531328320802,0.45645100502512564,0.48859965849028375,0.27654608400346525
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape_coupling,638,798,292,0.5012531328320802,0.4998555276381909,0.5088257516007509,0.319512597725479
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape_coupling,638,798,292,0.5012531328320802,0.4626947236180904,0.49194913739549756,0.27494757299094696
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shuffle,638,798,280,0.5012531328320802,0.515571608040201,0.5108815756660557,0.3159405746731718
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shuffle,638,798,280,0.5012531328320802,0.5170100502512563,0.5106675289694897,0.2623646930211534
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_reverse,638,798,280,0.5012531328320802,0.5171670854271357,0.5326072116375511,0.3139192153010318
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_reverse,638,798,280,0.5012531328320802,0.45926507537688444,0.49106591209762646,0.27541553001417396
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,quality_only,638,798,20,0.5012531328320802,0.458391959798995,0.47345722888594477,0.26761992501699655
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,quality_only,638,798,20,0.5012531328320802,0.3969849246231155,0.4419082443151048,0.2973769251670441
