learner,contrast,rows,subjects,positive_prevalence,auc,average_precision,accuracy_at_0_5,balanced_accuracy_at_0_5,brier,subject_auc_median,subject_auc_min,subject_auc_max
portable_logistic,meditation_vs_tsst,879,15,0.24800910125142206,0.4580632625019085,0.24988399431731878,0.5119453924914675,0.46182806145817434,0.30415823882476845,0.4790123456790123,0.1037037037037037,0.6468561584840655
portable_logistic,meditation_or_baseline_vs_tsst,1126,15,0.4129662522202487,0.36898475753582877,0.34665379454295275,0.4422735346358792,0.4171945406926618,0.38678712441915347,0.3933333333333333,0.08819444444444444,0.5697674418604652
random_forest,meditation_vs_tsst,879,15,0.24800910125142206,0.461616399950034,0.24862348501278636,0.6985210466439136,0.5182479978903246,0.22861874273031385,0.5020325203252033,0.11111111111111112,0.6555555555555556
random_forest,meditation_or_baseline_vs_tsst,1126,15,0.4129662522202487,0.40121842109544026,0.3741449484511733,0.5674955595026643,0.5024888975647845,0.34049595117419595,0.38600823045267485,0.14375,0.6079545454545454
gradient_boosting,meditation_vs_tsst,879,15,0.24800910125142206,0.46505156213132726,0.2739298572049025,0.6928327645051194,0.5144658496301129,0.26038559002529044,0.42524916943521596,0.23827160493827163,0.6597222222222222
gradient_boosting,meditation_or_baseline_vs_tsst,1126,15,0.4129662522202487,0.4445333723748638,0.42493073635803336,0.5710479573712256,0.5083841686594115,0.38135253124536556,0.37777777777777777,0.23819444444444446,0.6988636363636364
