learner,protocol,rows,mean,median,q25,q75
gradient_boosting,base,247,0.14891168356286677,0.006734785330337132,0.0028583215535510445,0.05322331858652446
gradient_boosting,bread,18,0.057518831615652716,0.02329533062265872,0.0028583215535510445,0.07837952418239413
gradient_boosting,fread,28,0.32319432778757984,0.10841580489666755,0.0028583215535510445,0.841327336480719
gradient_boosting,fun,117,0.15063630830513838,0.0134454521209846,0.004165564745815046,0.1446057126402986
gradient_boosting,medi_1,133,0.11097805735734201,0.01356160101859923,0.0028583215535510445,0.11756794013709337
gradient_boosting,medi_2,85,0.2856269386223007,0.02452985385614464,0.0028583215535510445,0.6990450526531831
gradient_boosting,sread,25,0.1798035126661712,0.05555249826018645,0.0028583215535510445,0.26513245467187746
gradient_boosting,tsst_stress,661,0.17841778907103722,0.047685747192651104,0.0028583215535510445,0.26454946310478183
portable_logistic,base,247,0.21255868470747516,0.08526720203623182,0.004019527091034865,0.408304975480463
portable_logistic,bread,18,0.22442663837079774,0.07376308789987149,0.03751317674790411,0.4328957054302598
portable_logistic,fread,28,0.43418069836938583,0.43643251284189505,0.2853793656240423,0.6081252175089802
portable_logistic,fun,117,0.3100526979715735,0.2611055137590011,0.03132535162508652,0.5640614641457705
portable_logistic,medi_1,133,0.3355694435448587,0.3132919098539694,0.05441454391092316,0.5685910126171858
portable_logistic,medi_2,85,0.4138940254337719,0.3607332692593546,0.11731699927981355,0.721089534266779
portable_logistic,sread,25,0.5082869363848771,0.5486761537573958,0.33200656271165985,0.7420148926565252
portable_logistic,tsst_stress,661,0.4072959748012708,0.43902366305246066,0.11735510677905069,0.6528428560652271
random_forest,base,247,0.15963441166546535,0.09229644184074412,0.02574307719951324,0.20879706911714493
random_forest,bread,18,0.12493843476252413,0.06461620958234246,0.029326055769632563,0.19506024777325282
random_forest,fread,28,0.25922391212231405,0.2104441391605491,0.07263803466656993,0.3687661500649927
random_forest,fun,117,0.19671019133191298,0.12094045868778316,0.060608090058233,0.28387008213959514
random_forest,medi_1,133,0.19493395033169394,0.15044604421433486,0.055721450125085135,0.2888647351730614
random_forest,medi_2,85,0.27760241621786363,0.20645992230262222,0.05810771816519415,0.5027655522458587
random_forest,sread,25,0.25242531932916984,0.28910443272685715,0.1106662276448747,0.37669367160407063
random_forest,tsst_stress,661,0.24183731232380382,0.18830981623470386,0.0812167584645461,0.40003921861596714
