learner,window_s,rows,auc,balanced_accuracy_at_0_5,meditation_probability_median,stress_probability_median
gradient_boosting,5.0,288.0,0.46855709876543206,0.5208333333333334,0.024604036342558443,0.08161492178753517
gradient_boosting,10.0,292.0,0.4582070707070707,0.5104797979797979,0.026938476495104578,0.0544308061399133
gradient_boosting,30.0,299.0,0.4624024024024024,0.512012012012012,0.006503051235739833,0.02377105699239808
portable_logistic,5.0,288.0,0.41865997942386834,0.4351851851851852,0.33032227916626244,0.5109660666650178
portable_logistic,10.0,292.0,0.43914141414141417,0.4444444444444444,0.40546452945828626,0.4989668794334293
portable_logistic,30.0,299.0,0.5050450450450451,0.5043843843843844,0.2673775440082799,0.2527818895972481
random_forest,5.0,288.0,0.4594264403292181,0.5023148148148149,0.19323819826473437,0.22465091824033673
random_forest,10.0,292.0,0.4589015151515152,0.5381313131313131,0.17681076331057696,0.20673147955222768
random_forest,30.0,299.0,0.4595195195195195,0.5142342342342342,0.12322292751398142,0.14494493200231556
