exercise_rest,pain_bin,bvp__count,bvp__median,bvp__mean,bvp__std,eda__count,eda__median,eda__mean,eda__std,temperature__count,temperature__median,temperature__mean,temperature__std,x__count,x__median,x__mean,x__std,y__count,y__median,y__mean,y__std,z__count,z__median,z__mean,z__std
exercise,zero,39101,0.12,0.1409357816935628,127.60049572223073,39101,0.12,1.9617099306923098,3.63617952688884,39101,30.5,30.067698780082353,3.963160633646776,39101,23.42434224816391,19.147881768483003,34.035936034559626,39101,-7.458994497523603,-7.997450879301715,38.339868068640556,39101,20.010349411921204,16.913635702071264,30.90909749045582
exercise,mild,411860,1.64,-0.02514706453649298,123.92518492701375,411860,0.93,1.8465683970281164,2.2714326734460055,411860,34.23,33.719789588695186,2.0314641474474135,411860,13.006727117748785,5.946359721243856,35.041102502443756,411860,-2.0010349411921204,-4.618552097047009,38.47604780873331,411860,28.10973544173045,24.42302251977356,30.354531509305207
exercise,moderate,160209,0.54,-0.015219681790660949,80.73410247438024,160209,1.18,4.280247239543346,5.623737281457396,160209,35.11,35.01636818156283,1.3531872598802288,160209,18.009314470729084,15.910679719676267,33.28815126989822,160209,3.233966787310182,2.8881146694115025,35.39739231638226,160209,26.01345423549757,19.69632585206621,35.707824453972854
rest,zero,302792,1.31,-0.017961670057333082,101.71570806841585,302792,1.4,2.692629659964596,3.330348573257679,302792,33.91,33.23202795978758,2.560091350464566,302792,13.006727117748785,5.551290358783233,34.832393317327,302792,-4.199790512411227,-10.744063626243042,38.65283385102052,302792,12.265743659037192,15.060429129677978,34.598347395560765
rest,mild,442086,1.71,0.024970910637296815,114.79212049359938,442086,0.67,2.026621200399922,3.743269028422449,442086,33.94,33.938365657360784,1.8953344895546282,442086,9.004657235364542,5.59282987666416,37.659065935327924,442086,-4.002069882384242,-5.098345025179415,39.237355671602266,442086,18.722644607848,18.55639132446801,30.78810798781654
rest,moderate,31183,2.33,-0.0077648077478113,30.644832071842217,31183,0.12,0.11617612160472053,0.06506334167954675,31183,32.8,32.78785844851362,0.42391203931202875,31183,21.88311769927999,25.12692601552927,13.888741499288786,31183,-4.002069882384241,-8.31048849720213,10.497076034803687,31183,59.03053076516756,55.163328421662726,12.213063809007172
