split,feature_set,task,heldout_dataset,train_rows,test_rows,features,train_datasets,test_datasets,train_subjects,test_subjects,status,mae,baseline_mae,mae_improvement_vs_train_mean,rmse,r2,pearson,weighted_mae,weighted_baseline_mae,weighted_mae_improvement_vs_train_mean,prevalence,accuracy,balanced_accuracy,f1,average_precision,roc_auc,weighted_accuracy,weighted_balanced_accuracy,weighted_f1,weighted_average_precision,weighted_roc_auc,reason
pooled_subject_holdout,sensors_only,regression_nrs,,30747,10773,206,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.6347149988460967,1.5619412501071852,-0.04659186043900032,1.9435870002277988,-0.1065793959086716,0.5721717291172461,1.6380722243180015,2.0362824678491895,0.19555746799303098,,,,,,,,,,,,
pooled_subject_holdout,sensors_only,classification_high_pain_4_plus,,30747,10773,206,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.2994523345400538,0.7573563538475819,0.6164179367470362,0.3954671600370028,0.644671431137652,0.7789750668491097,0.6409761531949456,0.619347274963266,0.45187440752234054,0.7097955239135647,0.7505178854692048,
pooled_subject_holdout,sensors_only,classification_nonzero_pain,,30747,10773,206,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.9068968718091525,0.7669172932330827,0.5610491452969648,0.8636585763153608,0.9720905160335149,0.7545279208434064,0.9228819760588631,0.6252491505555099,0.9594947494816384,0.997525319397672,0.9240033712662997,
pooled_subject_holdout,sensors_plus_state,regression_nrs,,30747,10773,214,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.4960596919132225,1.5619412501071852,0.04217928055196807,1.8426071825989399,0.00541907006926845,0.5731784314664076,1.522109203802884,2.0362824678491895,0.2525058640756249,,,,,,,,,,,,
pooled_subject_holdout,sensors_plus_state,classification_high_pain_4_plus,,30747,10773,214,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.2994523345400538,0.7413905133203379,0.6009406766983937,0.3673932788374205,0.625976838700953,0.7839536835952027,0.6094189642738872,0.588721939679436,0.4171741067745963,0.6782448697479839,0.7326171363647134,
pooled_subject_holdout,sensors_plus_state,classification_nonzero_pain,,30747,10773,214,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.9068968718091525,0.8551007147498375,0.6096673643348358,0.9193989776423813,0.9852366417670536,0.8579913279608463,0.9520584486769754,0.640301048737235,0.9751993754189258,0.9986001245988305,0.9560349985097867,
pooled_subject_holdout,e4_like,regression_nrs,,30747,10773,116,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.5421697771371539,1.5619412501071852,0.012658269297052382,1.9262960027575022,-0.08697775220014425,0.4867611534665456,1.6399396976457146,2.0362824678491895,0.19464036864301515,,,,,,,,,,,,
pooled_subject_holdout,e4_like,classification_high_pain_4_plus,,30747,10773,116,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.2994523345400538,0.7274668151861134,0.5987232643608629,0.3790186125211506,0.5415613968946693,0.7657875905741667,0.5851641337710404,0.568337734951548,0.4281103148891341,0.5831033305583437,0.6998389758448318,
pooled_subject_holdout,e4_like,classification_nonzero_pain,,30747,10773,116,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.9068968718091525,0.8551007147498375,0.6096673643348358,0.9193989776423813,0.9852366417670536,0.8579913279608463,0.9520584486769754,0.640301048737235,0.9751993754189258,0.9986001245988305,0.9560349985097867,
pooled_subject_holdout,apple_watch_like,regression_nrs,,30747,10773,111,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.506956071761505,1.5619412501071852,0.035203102768370464,1.8568800033266684,-0.01004863728224148,0.5379040946888938,1.534822177510841,2.0362824678491895,0.24626263706332097,,,,,,,,,,,,
pooled_subject_holdout,apple_watch_like,classification_high_pain_4_plus,,30747,10773,111,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.2994523345400538,0.7504873294346979,0.6261572960717097,0.43147208121827413,0.6092326322466055,0.7870820847343832,0.6305369715676536,0.6140677264698196,0.49182951531317365,0.6591774321261872,0.727750516233269,
pooled_subject_holdout,apple_watch_like,classification_nonzero_pain,,30747,10773,111,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.9068968718091525,0.8551007147498375,0.6096673643348358,0.9193989776423813,0.9823056062773295,0.8321335889975927,0.9520584486769754,0.640301048737235,0.9751993754189258,0.9983385027201167,0.9480296033763151,
pooled_subject_holdout,autonomic_core,regression_nrs,,30747,10773,69,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.56869151026536,1.5619412501071852,-0.0043217119451270936,1.9534583750701267,-0.11784845651083087,0.45490394572534043,1.6720264807639316,2.0362824678491895,0.17888283813099914,,,,,,,,,,,,
pooled_subject_holdout,autonomic_core,classification_high_pain_4_plus,,30747,10773,69,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.2994523345400538,0.732386521860206,0.5925620194867279,0.35315234462643036,0.5759746506862142,0.7401293082876138,0.595908296679865,0.5757256530501892,0.40419703874442736,0.6350788153020128,0.6976835504676294,
pooled_subject_holdout,autonomic_core,classification_nonzero_pain,,30747,10773,69,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,,,,,0.9068968718091525,0.8566787338717163,0.6105373745702504,0.920346677672307,0.9879172948192719,0.9003202266282014,0.9525805539764576,0.6405703984941712,0.9754760891659325,0.9988811817374545,0.9691397622278523,
pooled_subject_holdout,motion_only,regression_nrs,,30747,10773,74,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.5262442670017162,1.5619412501071852,0.022854241862822477,1.8245222044109486,0.024846655663639305,0.5910717812715536,1.4854547002048795,2.0362824678491895,0.2705065610205437,,,,,,,,,,,,
