task,dataset_id,model,feature_set,feature,importance
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__std,0.5392577125900521
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__max,0.4132689766268288
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__min,0.41144016877468503
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__mean,0.4055541190514691
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__std,0.40258518468062965
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__std,0.29608551505043407
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__max,0.2551700406174632
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__max,0.1698773360972497
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__min,0.13432927324418992
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__std,0.13354165178475202
cognitive_load_vs_baseline,catsa,logistic,base,eda__base__std,0.13225135038004338
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__last,0.11055003953063028
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__min,0.10333073065848337
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__max,0.08829174716585965
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__std,0.08226752540794731
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__last,0.07907624526775196
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__last,0.07654415143945645
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__min,0.05102824261540882
cognitive_load_vs_baseline,catsa,logistic,base,eda__base__last,0.0498897799410118
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__last,0.04556395811065896
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__std,0.12998268298001422
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__min,0.09296744282761688
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__max,0.06604181743902632
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__max,0.05109670282747049
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__last,0.046786277315540255
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__min,0.04365899015952605
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__mean,0.04230224436145477
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__last,0.03656759207035993
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__mean,0.035964054639930874
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__min,0.03463068169189669
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__max,0.032681224049977524
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__last,0.031116492044544593
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__mean,0.02710424545433939
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__max,0.02704041788583882
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__last,0.024161760829086804
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_z__base__min,0.024083186364491794
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__min,0.024067477989350487
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__mean,0.02261876395795668
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_mag__base__max,0.022330071288611204
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_z__base__mean,0.02117156454111962
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__shape__q10,0.6169169259719958
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_z__base__std,0.5490644171726835
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__base__mean,0.39618080586363125
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__shape__skew,0.34993652357501015
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__shape__q75,0.33300040241639356
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__shape__median,0.30576399555009737
