task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_reverse,192,241,234,0.7344398340248963,0.4231108757062147,0.7391520459859974,0.38570508938922116
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_reverse,192,241,234,0.7344398340248963,0.321680790960452,0.6607182801788207,0.23876618949557485
pain_high_4_plus,painmonit,group_subject_cv,logistic,quality_only,192,241,16,0.7344398340248963,0.5,0.7344398340248963,0.25
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,quality_only,192,241,16,0.7344398340248963,0.5306762005649717,0.7444379016770771,0.2499999999999999
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base,318,398,40,0.20351758793969849,0.7042489387389492,0.3876135220724993,0.2080022953305528
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base,318,398,40,0.20351758793969849,0.7104412509249521,0.39709263795730376,0.16304721321244528
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_distribution,318,398,120,0.20351758793969849,0.6234762628032869,0.33995650302432406,0.23419239847487838
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_distribution,318,398,120,0.20351758793969849,0.7084939829419324,0.43415331452527045,0.15606006775417047
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal,318,398,232,0.20351758793969849,0.6135062507302255,0.31773426389532944,0.24957458618196085
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal,318,398,232,0.20351758793969849,0.669743350079838,0.382529719460172,0.16293978783739696
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_coupling,318,398,244,0.20351758793969849,0.6051719437629006,0.3146472703049572,0.25439461829432203
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_coupling,318,398,244,0.20351758793969849,0.6745336293180668,0.3665269213839683,0.1624957216480674
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_shuffle,318,398,232,0.20351758793969849,0.6076255014215055,0.3009997251786217,0.24599221376876163
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_shuffle,318,398,232,0.20351758793969849,0.5665381469797873,0.2652137367363505,0.17376429612984995
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_reverse,318,398,232,0.20351758793969849,0.5855434824940607,0.30000256752339016,0.25481568987956926
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_reverse,318,398,232,0.20351758793969849,0.6584881411379834,0.3728750658123735,0.16406633681407906
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shape,318,398,312,0.20351758793969849,0.6152977372746037,0.31514016816006385,0.24766274871905522
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shape,318,398,312,0.20351758793969849,0.6918643143669432,0.41736501963195105,0.15697348192796842
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shape_coupling,318,398,324,0.20351758793969849,0.6112863652295829,0.3156781808773596,0.2485069982483667
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shape_coupling,318,398,324,0.20351758793969849,0.7174903610234841,0.44160708137866705,0.15389791724554908
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shuffle,318,398,312,0.20351758793969849,0.6138567589671691,0.32945724638074203,0.23305399838106702
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shuffle,318,398,312,0.20351758793969849,0.6887486855941115,0.3780518013861597,0.1609934943350268
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_reverse,318,398,312,0.20351758793969849,0.5920863029170074,0.2988782412526955,0.2544362275486688
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_reverse,318,398,312,0.20351758793969849,0.722592203138996,0.4580597388824825,0.15296695205722927
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,quality_only,318,398,16,0.20351758793969849,0.5628188651322196,0.2761489781097982,0.2356177808655886
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,quality_only,318,398,16,0.20351758793969849,0.5572886240604432,0.28079944976449484,0.23810009538662194
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base,320,400,35,0.475,0.4384962406015037,0.452600801012066,0.29702582526036053
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base,320,400,35,0.475,0.33363408521303256,0.3944717990836586,0.3196715763738043
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_distribution,320,400,105,0.475,0.4582706766917294,0.45319027716767313,0.3341143744366674
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_distribution,320,400,105,0.475,0.34503759398496237,0.3911687505205911,0.3258559762637493
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal,320,400,203,0.475,0.4200751879699248,0.41690446777745993,0.42866597130737844
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal,320,400,203,0.475,0.3250877192982456,0.3740264260268083,0.2836312779824894
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_coupling,320,400,215,0.475,0.4410025062656642,0.45385142335311013,0.42744706325834014
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_coupling,320,400,215,0.475,0.32904761904761903,0.37690628646163715,0.28104438896125505
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_shuffle,320,400,203,0.475,0.43676691729323314,0.4390889446356328,0.4043256861976655
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_shuffle,320,400,203,0.475,0.324110275689223,0.375219127961716,0.2823457103781431
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_reverse,320,400,203,0.475,0.3970175438596491,0.40503567562416987,0.44162687676360207
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_reverse,320,400,203,0.475,0.32105263157894737,0.3669899893953005,0.28647164794268476
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shape,320,400,273,0.475,0.42062656641604007,0.41600533057388445,0.43720258036672954
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shape,320,400,273,0.475,0.31258145363408524,0.37083484598783073,0.29910235320094036
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shape_coupling,320,400,285,0.475,0.44508771929824564,0.44764924217662083,0.4327785952922231
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shape_coupling,320,400,285,0.475,0.29884711779448625,0.3612269425748441,0.3005281994285421
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shuffle,320,400,273,0.475,0.43042606516290727,0.44771514776599236,0.4303682454095457
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shuffle,320,400,273,0.475,0.315187969924812,0.36991525742448794,0.3000727905608146
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_reverse,320,400,273,0.475,0.4123057644110275,0.4145057860407938,0.4392871806513815
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_reverse,320,400,273,0.475,0.3086466165413534,0.3628756725168803,0.3026034401884437
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,quality_only,320,400,18,0.475,0.5,0.475,0.25
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,quality_only,320,400,18,0.475,0.39974937343358397,0.4334429824561403,0.25000000000000006
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base,268,336,35,0.09821428571428571,0.4708470847084708,0.10602723968847758,0.24444458144248293
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base,268,336,35,0.09821428571428571,0.39963996399639967,0.07825402456931319,0.13012577546690093
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_distribution,268,336,105,0.09821428571428571,0.41114111411141113,0.07898294067803245,0.22858191358915178
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_distribution,268,336,105,0.09821428571428571,0.3201320132013201,0.0694281351973006,0.130717316483853
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal,268,336,203,0.09821428571428571,0.4665466546654666,0.09615318702480036,0.1845032288183137
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_temporal,268,336,203,0.09821428571428571,0.3261326132613261,0.06936850302850127,0.11955828895520809
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal_coupling,268,336,215,0.09821428571428571,0.4704470447044704,0.09477031549787238,0.17453215179106496
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_temporal_coupling,268,336,215,0.09821428571428571,0.3116311631163116,0.06800665895981,0.12032927223000801
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal_shuffle,268,336,203,0.09821428571428571,0.3795379537953795,0.07486139224235437,0.18797042033560893
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_temporal_shuffle,268,336,203,0.09821428571428571,0.3558355835583558,0.07229826856292355,0.1183025783101247
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal_reverse,268,336,203,0.09821428571428571,0.5050505050505051,0.11395681639283789,0.16242524091078336
