test_source,model,base_real_other_auc,synthetic_auc,combined_auc,synthetic_auc_lift,combined_auc_lift,base_real_other_bal_acc,synthetic_bal_acc,combined_bal_acc,synthetic_bal_acc_lift,combined_bal_acc_lift
NEURO,hist_gradient_boosting,0.5218082603387761,0.7061962904306153,0.6739966901998334,0.18438803009183913,0.1521884298610573,0.516387187266609,0.6366142589318479,0.6256171724137116,0.12022707166523883,0.10922998514710258
SWELL,hist_gradient_boosting,0.5989799548153663,0.9193126544498554,0.9166209703125617,0.3203326996344892,0.3176410154971955,0.5344831936378407,0.7967413004126691,0.7915449580578227,0.2622581067748284,0.25706176441998196
UBFC,hist_gradient_boosting,0.5876366112315967,0.6198228361846705,0.5377390882803138,0.03218622495307377,-0.04989752295128291,0.462468394437421,0.489464812473662,0.4855141171512853,0.026996418036241032,0.02304572271386429
WESAD,hist_gradient_boosting,0.4062972033298077,0.6580587364695449,0.5717610900991018,0.25176153313973726,0.16546388676929413,0.43720238417792323,0.6154602007188453,0.559139195864573,0.1782578165409221,0.12193681168664972
NEURO,random_forest,0.5370683442697639,0.7331480900561478,0.7397470063756377,0.19607974578638387,0.20267866210587382,0.5221791728878903,0.6552268606367504,0.6712877323501518,0.1330476877488601,0.14910855946226154
SWELL,random_forest,0.6431057201756748,0.9431983372059483,0.9439622195019229,0.30009261703027346,0.30085649932624814,0.6316400771822885,0.8494824372010796,0.8528023198551105,0.2178423600187911,0.22116224267282192
UBFC,random_forest,0.5799828237878575,0.659099715637584,0.6243980174565077,0.07911689184972648,0.04441519366865021,0.4657606405394016,0.5304037010236486,0.5198685134973107,0.06464306048424706,0.05410787295790909
WESAD,random_forest,0.43801230295261573,0.6818763390218401,0.6898009306473479,0.24386403606922435,0.2517886276947322,0.439966147884344,0.6028764770551993,0.6402341517397503,0.1629103291708553,0.20026800385540627
